Date,ExchangeRate,RateType,Source,LoadTimestampUTC
2024-09-03,36.6386,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-04,36.6391,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-05,36.6436,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-06,36.6846,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-09,36.6958,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-10,36.6854,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-11,36.7062,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-12,36.7323,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-13,36.741,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-17,36.7751,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-18,36.7702,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-19,36.7789,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-20,36.8013,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-23,36.823,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-24,36.813,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-25,36.8105,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-26,36.8507,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-09-27,36.8655,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
